[18-Apr-2014 15:17:36 Europe/Moscow] PHP Parse error:  syntax error, unexpected ')' in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
[18-Apr-2014 15:17:48 Europe/Moscow] PHP Parse error:  syntax error, unexpected ')' in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
[18-Apr-2014 15:17:53 Europe/Moscow] PHP Parse error:  syntax error, unexpected ')' in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(9) : eval()'d code on line 1
[21-Apr-2014 11:49:34 Europe/Moscow] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting T_STRING in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php on line 83
[21-Apr-2014 11:49:43 Europe/Moscow] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting T_STRING in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php on line 83
[21-Apr-2014 11:49:45 Europe/Moscow] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting T_STRING in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php on line 83
[21-Apr-2014 11:56:59 Europe/Moscow] PHP Parse error:  syntax error, unexpected T_STRING in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php on line 140
[21-Apr-2014 14:16:41 Europe/Moscow] PHP Parse error:  syntax error, unexpected $end in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\forms_api.php on line 27
[21-Apr-2014 14:16:46 Europe/Moscow] PHP Parse error:  syntax error, unexpected $end in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\forms_api.php on line 27
[21-Apr-2014 14:18:42 Europe/Moscow] PHP Parse error:  syntax error, unexpected $end in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(37) : eval()'d code on line 1
[21-Apr-2014 14:36:18 Europe/Moscow] PHP Parse error:  syntax error, unexpected $end in C:\MyIISServices\mantis\plugins\CubeObjectPower\pages\page_equipment_add.php(37) : eval()'d code on line 1
